,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
79,Dicabisagan,PH,17.0818,122.4157,83.95,70,100,4.94,overcast clouds
80,Lumphat,KH,13.4878,106.9816,77.99,91,100,2.59,overcast clouds
81,Rawson,AR,-43.3002,-65.1023,51.51,60,100,10.42,overcast clouds
82,Hami,CN,42.8,93.45,66.78,10,18,6.62,few clouds
83,Vestmannaeyjar,IS,63.4427,-20.2734,45.07,65,96,7.38,overcast clouds
84,Ancud,CL,-41.8697,-73.8203,50.0,92,32,3.62,scattered clouds
85,Arraial Do Cabo,BR,-22.9661,-42.0278,75.54,82,2,12.88,clear sky
86,Adrar,MR,20.5022,-10.0711,77.22,16,0,11.5,clear sky
87,Laguna,US,38.421,-121.4238,84.49,18,0,13.8,clear sky
88,La Cruz,MX,23.9167,-106.9,76.82,58,62,4.74,broken clouds
89,Turmalina,BR,-17.2856,-42.73,67.86,71,99,2.24,overcast clouds
90,Santa Marta,CO,11.2408,-74.199,84.25,72,75,10.36,broken clouds
91,Thompson,CA,55.7435,-97.8558,26.76,86,100,12.66,overcast clouds
92,Anadyr,RU,64.75,177.4833,23.5,74,0,11.18,clear sky
93,Salalah,OM,17.0151,54.0924,84.29,84,40,4.61,scattered clouds
94,Houma,US,29.5958,-90.7195,77.0,89,40,4.61,scattered clouds
95,Lima,PE,-12.0432,-77.0282,67.89,72,0,12.66,clear sky
96,Butaritari,KI,3.0707,172.7902,81.37,78,33,12.71,light rain
97,Zyryanskoye,RU,56.8306,86.6258,41.0,80,100,8.59,overcast clouds
98,Parabel,RU,58.6978,81.4825,32.49,100,100,7.52,snow
99,Sinnamary,GF,5.3833,-52.95,77.79,84,95,11.14,overcast clouds
100,Yerbogachen,RU,61.2767,108.0108,29.43,54,5,2.71,clear sky
101,San Andres,CO,12.5847,-81.7006,77.02,94,100,2.3,overcast clouds
102,Pemangkat,ID,1.1667,108.9667,82.22,80,100,5.77,overcast clouds
103,Vaini,TO,-21.2,-175.2,82.56,83,75,14.97,broken clouds
104,Albany,US,42.6001,-73.9662,58.17,48,100,2.04,overcast clouds
105,Mareeba,AU,-17.0,145.4333,78.48,75,16,6.55,few clouds
106,Khasan,RU,42.4308,130.6434,48.02,54,22,12.33,few clouds
107,Kenora,CA,49.8167,-94.4337,38.37,93,100,9.22,light intensity drizzle
108,Evensk,RU,61.95,159.2333,31.14,77,18,2.28,few clouds
109,Coffs Harbour,AU,-30.3,153.1333,71.56,68,75,10.36,broken clouds
110,Afsin,TR,38.2477,36.914,48.63,74,18,5.41,few clouds
111,Port Lincoln,AU,-34.7333,135.8667,64.51,68,0,10.8,clear sky
112,Grand Gaube,MU,-20.0064,57.6608,72.37,81,3,7.72,clear sky
113,Rio Tuba,PH,8.5061,117.4317,83.07,77,100,6.2,overcast clouds
114,Faanui,PF,-16.4833,-151.75,81.41,72,54,8.28,light rain
115,Novoorsk,RU,51.381,58.9813,38.05,68,8,13.58,clear sky
116,Mitsamiouli,KM,-11.3847,43.2844,80.56,72,7,14.45,clear sky
117,Greensboro,US,36.0726,-79.792,70.77,59,100,10.36,thunderstorm
118,Peterhead,GB,57.5058,-1.7981,52.45,94,100,9.6,overcast clouds
119,Avarua,CK,-21.2078,-159.775,84.25,74,75,5.75,broken clouds
120,Sola,VU,-13.8833,167.55,81.27,83,100,0.0,light intensity shower rain
121,Barcelos,PT,41.5388,-8.6151,55.92,95,54,2.44,broken clouds
122,Upernavik,GL,72.7868,-56.1549,-1.7,89,6,3.65,clear sky
123,Tuatapere,NZ,-46.1333,167.6833,61.14,67,7,7.4,clear sky
124,Tuktoyaktuk,CA,69.4541,-133.0374,37.4,75,75,11.5,broken clouds
125,Lardos,GR,36.0942,28.0157,64.22,79,97,7.9,overcast clouds
126,Lata,PT,40.1629,-8.3327,57.07,81,97,6.51,overcast clouds
127,Lebu,CL,-37.6167,-73.65,52.45,90,0,15.1,clear sky
128,San Patricio,US,28.017,-97.5169,83.53,81,97,15.5,overcast clouds
129,Provideniya,RU,64.3833,-173.3,29.44,56,8,12.19,clear sky
130,Gander,CA,48.9682,-54.5906,32.16,100,100,9.22,mist
131,Ahwa,IN,20.75,73.6833,75.33,82,0,3.31,clear sky
132,Deer Lake,CA,49.1667,-57.4316,35.46,93,100,0.0,overcast clouds
133,East London,ZA,-33.0153,27.9116,60.64,77,0,6.58,clear sky
134,Mandalgovi,MN,45.7625,106.2708,59.76,19,41,3.87,scattered clouds
135,Comodoro Rivadavia,AR,-45.8667,-67.5,48.06,87,20,3.44,few clouds
136,Bagdarin,RU,54.4333,113.6,52.66,47,100,11.05,overcast clouds
137,Raudeberg,NO,61.9875,5.1352,45.27,83,100,24.63,overcast clouds
138,Troitsko-Pechorsk,RU,62.7084,56.1964,24.48,88,99,4.68,overcast clouds
