City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
244,Bagting,PH,87.94,broken clouds,15.5558,121.2451,Rea's Bamboo Resort
245,Vao,NC,75.4,clear sky,-22.6667,167.4833,Hotel Kou-Bugny
248,Guane,CU,75.29,clear sky,22.2025,-84.0875,base de Campismo LosPortales de Guane
256,Manaure,CO,84.18,overcast clouds,11.7751,-72.4445,Hotel Palaaima
258,Sambava,MG,77.2,broken clouds,-14.2667,50.1667,Melrose
261,Lufilufi,WS,85.78,light rain,-13.8745,-171.5986,Leuaina Beach Resort and Spa
263,Georgetown,MY,80.55,few clouds,5.4112,100.3354,Cititel Penang
264,Puri,IN,82.92,overcast clouds,19.8,85.85,OYO 1577 Hotel Shree Hari Grand
272,Carutapera,BR,75.69,moderate rain,-1.195,-46.02,Lidera
275,Banda Aceh,ID,82.31,overcast clouds,5.5577,95.3222,OYO 884 Rumoh PMI Hotel
281,Luwuk,ID,85.01,scattered clouds,-0.9516,122.7875,Hotel Santika Luwuk
290,Balabac,PH,84.24,scattered clouds,7.9868,117.0645,Batalla’s Lodging House
291,Mahibadhoo,MV,84.83,overcast clouds,3.7833,72.9667,Omadhoo Inn
297,Seka,TH,77.25,overcast clouds,17.9285,103.9552,โรงแรมเสาวลักษณ์วิลล่า
303,Cockburn Town,TC,75.16,broken clouds,21.4612,-71.1419,Osprey Beach Hotel
305,Kismayo,SO,80.49,light rain,-0.3582,42.5454,Agan-Hotel
307,Yeppoon,AU,76.78,broken clouds,-23.1333,150.7333,Villa Mar Colina
309,Tabou,CI,80.67,scattered clouds,4.423,-7.3528,hotêl doufoulougou
311,Biltine,TD,87.89,few clouds,14.5333,20.9167,Hôtel Trois Étoiles de Biltine
316,Vanimo,PG,79.54,overcast clouds,-2.6741,141.3028,Vahmoneh Lodge Vanimo
320,Umm Lajj,SA,78.19,clear sky,25.0213,37.2685,Moon light Furnished Units
321,Catuday,PH,82.96,overcast clouds,16.2923,119.8062,Benjie's Kubo & Cottages
322,Isangel,VU,87.91,broken clouds,-19.55,169.2667,Tanna Lodge
323,Port Hedland,AU,78.85,overcast clouds,-20.3167,118.5667,The Esplanade Hotel
330,Tomatlan,MX,79.3,clear sky,19.9333,-105.25,El Salvial
333,Mancio Lima,BR,77.47,overcast clouds,-7.6142,-72.8958,Motel Asas Do Desejo
334,Champerico,GT,88.34,overcast clouds,14.3,-91.9167,"Hotel y restaurante ""El Diamante"""
336,Kieta,PG,85.66,broken clouds,-6.2167,155.6333,Uruna Bay Retreat
337,Kupang,ID,85.19,overcast clouds,-10.1667,123.5833,Hotel On The Rock by Prasanthi
340,Bambanglipuro,ID,82.02,overcast clouds,-7.95,110.2833,Puri Brata
